Gene,C,Z,Pval,FDR,Module
NAMPT,0.4011289155902443,828.7695154896804,0.0,0.0,3.0
VCAN,0.4129087582084306,814.7162083628536,0.0,0.0,4.0
UTRN,0.3267316084527716,682.172408959377,0.0,0.0,7.0
CD74,0.445760319716993,659.6707298444564,0.0,0.0,6.0
ACSL1,0.28286742693876576,659.325367105676,0.0,0.0,3.0
MTRNR2L12,0.15343243396141276,629.2200261390805,0.0,0.0,15.0
PID1,0.2860550409786739,605.8746700840142,0.0,0.0,7.0
HLA-DRA,0.43451387694371985,560.9412842742346,0.0,0.0,6.0
SAMSN1,0.25915082733115336,553.3931986130145,0.0,0.0,3.0
DYSF,0.25312515972813127,547.9052772033812,0.0,0.0,4.0
AQP9,0.19312352996103913,531.8963738572129,0.0,0.0,3.0
S100A8,0.31090299700656365,531.6080417575596,0.0,0.0,17.0
VCAN-AS1,0.14271485583593196,530.3922446244349,0.0,0.0,4.0
NFKBIA,0.33764008208010005,529.8634624002577,0.0,0.0,3.0
PARP14,0.41652047717910423,515.053057012617,0.0,0.0,1.0
B2M,0.2868700631448762,509.5061914791693,0.0,0.0,6.0
MTSS1,0.26397688145271747,501.7710544802177,0.0,0.0,7.0
S100A9,0.2949436239565439,493.3603749970721,0.0,0.0,17.0
RNF213,0.3731801605352011,492.7692172019321,0.0,0.0,1.0
EPSTI1,0.4006115650987749,491.77120426786604,0.0,0.0,1.0
IFI44,0.34063075598355314,486.27074498420745,0.0,0.0,2.0
IL1B,0.1756202362128968,479.87032891518453,0.0,0.0,3.0
TUBB1,0.2225697427088023,479.4484720269289,0.0,0.0,17.0
XYLT1,0.21384514450665587,476.5589371174794,0.0,0.0,7.0
PDE4B,0.24554503903366762,475.8776750304264,0.0,0.0,3.0
LRRK2,0.21641449519198008,473.0030870272832,0.0,0.0,4.0
HLA-DQA1,0.3685296551921956,469.94982378252723,0.0,0.0,6.0
NFKB1,0.23579129746765956,467.7336700472648,0.0,0.0,3.0
TNFAIP3,0.2424223276275748,462.68695482482457,0.0,0.0,3.0
HLA-DRB1,0.4058329199313796,462.20969573613013,0.0,0.0,6.0
HLA-DPB1,0.4137063074549728,461.13838984128233,0.0,0.0,6.0
MEGF9,0.17096776444015016,456.33832440890706,0.0,0.0,4.0
S100A6,0.1970681115202909,454.4249186831022,0.0,0.0,17.0
PLCG2,0.1389019872632148,453.28173874214605,0.0,0.0,15.0
HLA-DPA1,0.40444792229134885,447.9902289750882,0.0,0.0,6.0
ITGA4,0.2258407770155998,437.29120533307747,0.0,0.0,7.0
SOD2,0.23397892601055928,435.3446966858816,0.0,0.0,3.0
JAK2,0.2416284471447821,422.077805792132,0.0,0.0,1.0
PADI4,0.20880332643648472,418.79074586909394,0.0,0.0,4.0
HLA-DQB1,0.29484589391352684,417.17609992311185,0.0,0.0,6.0
CST3,0.2305505823564655,413.649445714433,0.0,0.0,6.0
STAT1,0.3380742953889255,411.4890364245991,0.0,0.0,1.0
MX2,0.22749467034549017,409.88167156256816,0.0,0.0,2.0
MX1,0.36801178577811317,408.54359683272264,0.0,0.0,2.0
GBP2,0.3717031139954177,406.99889418615913,0.0,0.0,1.0
CROCC,0.14690468984552527,406.2719248197014,0.0,0.0,5.0
MALAT1,0.1723314693388458,403.75860124964623,0.0,0.0,15.0
ATP2B1,0.24540887785892793,402.063279521199,0.0,0.0,8.0
CAMK2D,0.257288215552636,392.30825345261536,0.0,0.0,-1.0
CXCL8,0.16512829064672746,391.9516800886357,0.0,0.0,3.0
SASH1,0.14549005684310398,380.9919898693262,0.0,0.0,7.0
IFI44L,0.31203123622241313,378.37442289495027,0.0,0.0,2.0
ARHGAP24,0.14931269428238314,377.02115103345784,0.0,0.0,4.0
JUN,0.1902273442435785,376.8189936328529,0.0,0.0,5.0
SAT1,0.17031626802895003,374.21358811579535,0.0,0.0,6.0
VIM,0.22990456564898545,369.5014518966387,0.0,0.0,17.0
WDR49,0.15428130043531532,365.78801943346963,0.0,0.0,12.0
KLF12,0.20792150328348782,365.12763190320516,0.0,0.0,7.0
GBP5,0.4543671897657542,362.6236863628102,0.0,0.0,1.0
XAF1,0.2552520882445573,362.2436948186166,0.0,0.0,2.0
LAP3,0.40349768243681505,359.9269380461259,0.0,0.0,1.0
PSME2,0.35971735237579616,357.4436968947923,0.0,0.0,1.0
AC007952.4,0.17913718864981185,340.317931388896,0.0,0.0,5.0
TYMP,0.2899896102293281,339.85829311974345,0.0,0.0,1.0
S100A12,0.23315784884501214,337.06465884047,0.0,0.0,17.0
NCF1,0.24877949332336338,335.6720119190048,0.0,0.0,1.0
LMNA,0.21953081274733016,330.85670691505635,0.0,0.0,14.0
HERC5,0.28018625057507257,327.2353971865659,0.0,0.0,2.0
