,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
AP-1 transcription factor network (M20),-0.622769610315656,-2.18943268455778,2.07095075195702,-1.08115811918117,-2.3901112415706,-1.86523841214569,2.03292186793086,0.778499727746471,2.02039684412044,1.96092842895164
B cell surface signature (S2),-0.781722154907874,0.617807634832899,-0.727455110548463,-0.945154845792789,0.934384407711671,1.63169381848463,-0.907422300750902,-1.37032294817879,1.89383893378714,-0.748482236702745
Monocyte surface signature (S4),1.00454870248026,-1.44838959665324,-1.2662501628986,1.77027010859892,-1.37764001813204,-1.83202117730796,-1.4714488039266,-1.56232380607203,1.44051161311698,-1.56275677152238
T cell activation (I) (M7.1),-1.15500516742403,0.63222769707602,-1.07145059253718,-1.74770446023098,-1.35144495150623,-2.33235152564947,-2.02844040523048,-2.22177477030236,1.99634604023169,1.16225451491509
T cell activation (II) (M7.3),-1.40386108488529,-0.821595255184977,-0.919071687213676,-1.72968030875382,-1.30630434865304,-1.89296483070335,-1.70730554594581,-1.13971492421205,2.01392143843199,1.34988041529088
T cell activation (III) (M7.4),1.15770156431282,1.17247625867613,-0.804852252028365,0.589895440285794,1.19717786064351,-2.0563223435648,-1.9074085030208,-1.84384157225811,1.14127792647088,0.968129860504615
T cell activation and signaling (M5.1),-1.46722263734704,-1.09901363274202,-0.976165348635931,-1.63413520216166,1.03222473401726,-1.98179199630328,-2.01123510767058,-1.9107901447902,1.80284460182592,-1.00877651207256
TBA (M243),-2.08547403967888,-2.09384478809152,2.24345664647641,1.45976280354594,-2.14731136985057,2.01124097970808,1.80760276955738,1.29134770318106,2.01325695954688,-1.20770440395622
TLR and inflammatory signaling (M16),1.08791577722892,-1.37081091823487,-1.25539990201527,1.65238082358944,-1.31612078658078,-1.74219479402569,-1.25393661360337,-1.60485688746098,1.56284125229362,-1.46409773614321
activated dendritic cells (M67),1.42995834311848,0.675333292316985,-1.6784328779015,-2.08644417906661,1.4513524653857,1.19914237416629,1.12083140161121,-1.82455882559924,0.921421401725494,0.95748879194457
antiviral IFN signature (M75),1.33993013733088,-1.64284956565704,-1.46796340979456,-2.30684191705473,1.13033896934666,-1.24573562628026,-1.08048384499212,-1.64310036018911,1.63618244421968,1.48311518166254
cell cycle and growth arrest (M31),-1.07656645629769,-2.09352631559364,1.63707320419116,-1.0871075003564,-2.39258956562782,-1.35986871858077,2.27672276985894,-1.47882625415051,2.07332762005658,2.13676148900814
chemokines and inflammatory molecules in myeloid cells (M86.0),-1.42260266605152,-2.25398626737441,1.18591264478249,-2.02909931357019,-2.68175828292205,-1.75830699825008,2.5606280542247,-2.28597724672714,2.33081079749744,2.43682052171571
enriched in B cells (I) (M47.0),1.27900793958025,1.0434959810648,-1.31812015760785,-1.23679779714599,-1.05891837746052,2.95646882866836,2.17632485871715,-1.86693301820531,1.79926390598805,1.01459140545687
enriched in NK cells (I) (M7.2),-1.68040730776248,-1.082741310383,-0.721788038551875,-1.56060923869965,-2.13371387758047,-2.06456241788432,-1.93289481565512,-1.26114441431805,1.49209770340699,-1.2283386981356
enriched in T cells (I) (M7.0),-1.92587198366875,-0.838031616115207,-0.667044757381108,-1.6406942254346,-1.58115915522771,-2.49513090690698,-2.3010666800858,-2.10041561484355,2.18531767474998,0.856182836611788
enriched in activated dendritic cells (II) (M165),1.73343710339881,-1.26224948817791,-1.54503613416419,-1.67406013865382,-1.1510049361858,-1.17181655880164,1.47655478950606,-1.51704583596,1.31463644242491,1.65317818279216
enriched in activated dendritic cells/monocytes (M64),-1.20042083855874,-1.86194529250992,1.3582500611051,-1.00687041097338,-2.24003935992153,-1.05486859478957,2.25483077747996,-2.00294657498303,2.12212467282476,2.29844846454233
enriched in monocytes (II) (M11.0),-1.41380357005355,-1.96501438265794,-1.02577810241835,1.92558034039268,-1.4506126462378,-1.65186177019011,-1.3045667103073,-1.67205146192828,1.6871811750329,-1.83588595524844
enriched in neutrophils (I) (M37.1),-1.06562539744462,-1.83026561553262,-0.923482059922575,1.47732303504309,-2.42620315872702,-1.64284291095293,1.73944669342284,-1.40604115761117,1.95803144125817,1.86962738232683
"growth factor induced, enriched in nuclear receptor subfamily 4 (M94)",-0.802994239182996,-2.01765790759711,2.09483462013875,1.17078669854482,-2.41204468175493,-1.55306081893434,2.26943918989646,-0.874340824865666,2.15963006991442,2.17415431878437
innate antiviral response (M150),1.64770458505302,-1.14355923509189,-1.56310302352399,-1.94852972986685,1.39055510844978,-0.967126561169485,-1.16182775262062,0.997432891532422,1.05588079289298,0.832433100920921
"myeloid, dendritic cell activation via NFkB (I) (M43.0)",-1.00436630867706,-1.76596327781354,-0.79403926318813,-1.89685409807597,-1.81434857124671,-1.06157252360872,2.2713888685835,-1.79276604666351,2.12053861169951,2.24016139114377
"plasma cells & B cells, immunoglobulins (M156.0)",-1.15494143412083,-0.769985039729641,1.26734008456809,-0.855429680524844,-2.23261399457449,2.71320285450101,2.16941133085583,-1.44200292624848,1.76724823758653,0.864017723516058
"proinflammatory dendritic cell, myeloid cell response (M86.1)",-1.31076839436356,-2.00041881336714,1.44428106866102,-2.00310374527672,-2.21313342179267,-1.56152325091874,2.31529598301059,-2.11731209153751,1.93398205331603,2.18505280987904
putative targets of PAX3 (M89.0),-1.07556053911088,-2.13615027514337,2.37393811227565,0.882059586321545,-2.67753442441576,-1.4081636319545,2.5003286091413,0.932542641246482,2.27404603358703,2.40764556750735
putative targets of PAX3 (M89.1),1.05425334133289,-1.95030322680964,1.40489339144384,-0.967728913966928,-2.38906470137902,-1.61445032115463,2.24073575550941,0.831227558561445,2.09968480871197,2.20409585103899
regulation of antigen presentation and immune response (M5.0),0.87959120269006,-1.61857463970609,-1.33136905946463,-1.61281608218633,0.850493391591001,-1.99127444565691,-1.82723997596884,-2.0468630583191,1.84029212811974,-1.08075309065448
respiratory electron transport chain (mitochondrion) (M219),-2.21373745361351,-2.2476406277247,2.33732075206484,1.01653438785567,-2.22439032314682,2.27269946490605,1.05168230623131,0.744203365243014,1.92583859044952,-1.21217030149376
signaling in T cells (I) (M35.0),-1.18632111769378,-2.2183274610713,1.59922923328705,-1.78134831380465,-2.40457850684869,-1.74685216165824,1.12726736604144,-1.40680912733093,1.99188324013829,1.35467193047936
"transcription elongation, RNA polymerase II (M234)",-2.0737965151397,-2.04272067137003,2.24780978052779,1.62275815629733,-1.88341178259699,1.79744673464097,1.01434396959332,-0.940558588625475,1.94125246136612,-1.15741375184715
type I interferon response (M127),1.80989491835582,-0.630954532714306,-1.76876878316198,-2.06057680498119,1.67855451013311,-0.92355530509021,-1.22819435631927,-1.51010392378418,-0.831622286924837,0.963567937488391
viral sensing & immunity; IRF2 targets network (II) (M111.1),0.785225993454692,-1.65963726744829,-1.27897029720843,-1.66633846216794,1.49768588339101,0.961438564738658,-1.20700515130035,-1.63352841632391,1.32925407797273,-1.35556384377826
