,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
ALLOGRAFT_REJECTION,-1.07190357295964,-1.59751406099364,-0.924525800102228,-1.46567823182387,-1.13995730721402,-1.54199890891141,1.42271375035813,-1.93484748704076,2.13276041647085,1.7277847970349
ANGIOGENESIS,0.936469131705227,-0.929408274854391,1.49908510544213,1.71765332393595,-2.52255518416365,1.67028171677263,2.14899955042881,1.57492864706586,1.5727655079565,2.01803143146587
APOPTOSIS,1.12665356286901,-2.13717971592969,1.5591342871123,1.05817208448327,-1.92492878284504,-1.61017395105438,1.92080034878408,-1.4851927198156,2.17117262008742,2.25210113720747
COMPLEMENT,1.22015033517701,-1.42980255385065,-0.936257618126583,1.34733927996147,-1.3088747256188,-1.01060205446141,1.73248561850517,-1.06972314630539,1.9001701319242,1.65755627846435
DNA_REPAIR,-1.86590405185645,-1.524699430518,1.31813424981266,1.2275477251849,0.89267610686869,-0.802288444281395,-1.06610008222179,1.0333182300768,1.63777820657611,-0.939315724868925
EPITHELIAL_MESENCHYMAL_TRANSITION,-1.02449952960955,-1.86093988060992,1.34764494736635,1.3187286369887,-2.19123073500924,-1.31713125750745,1.82507737513323,1.15047601906249,1.96040750816467,2.13720051576023
HYPOXIA,1.06075993250742,-2.00721972471152,1.3607075252925,1.7430333225288,-1.95732446124309,-1.40619008110235,2.1753904235973,1.47610280626028,1.95704540219279,2.18655867229555
IL6_JAK_STAT3_SIGNALING,1.28164911809455,-1.25808829840398,-0.984887729486073,1.01916166582018,-1.75841429079582,-1.12749298518134,2.09626256138961,-1.59353169311432,1.95994714084472,2.00232904705779
INFLAMMATORY_RESPONSE,1.35065758896336,-2.05411640343562,1.36321639881471,1.16206260753249,-2.55933890786242,-1.38973495175947,2.70435948610343,-2.01562573331088,2.41945049286893,2.74893231834648
INTERFERON_ALPHA_RESPONSE,1.77084685250928,-1.5651877378109,-1.72083627417996,-2.57511443232956,1.86617516110362,1.64930965001079,-1.2905952431312,-1.57852256320714,1.363012218047,-1.49361692371869
INTERFERON_GAMMA_RESPONSE,1.72780115185111,-1.79733097149636,-1.4939448613348,-2.48742769924471,1.44736089717501,1.77069144732625,1.76075334686591,-1.97868327042497,1.93410818331238,1.70389556971229
MTORC1_SIGNALING,-1.06602833033306,-1.30016981878281,1.21293229349266,2.03064652065712,-1.49866749328656,-0.959520108332671,1.62293081113006,1.88286009035003,1.95141555711014,1.89401177506997
MYC_TARGETS_V1,-1.98025023210684,-2.04032457482653,1.742522857361,2.11661598714564,-0.955053336197421,1.71997291598696,-1.0327061054146,1.19657934399479,2.20752428094818,1.23411116484837
OXIDATIVE_PHOSPHORYLATION,-2.69260640391332,-2.33259359790533,2.08452416363374,1.71139335258222,0.83528811561331,2.24083269370997,-1.20257518818309,1.67385374739491,1.94005827254677,-1.43996010822298
TGF_BETA_SIGNALING,1.21129542354679,-1.27204990572537,1.84322164900774,1.59995753832399,-1.81758753389606,2.00252514624227,2.72201860270924,2.15873703799181,1.31542125813811,1.72399570203256
TNFA_SIGNALING_VIA_NFKB,1.09145317571021,-2.87626975800474,1.97164882240334,-1.50395770695149,-3.41839286025231,-1.67223286678282,3.54307654561924,-2.22484602894581,2.8600124941871,3.52835164897648
UV_RESPONSE_DN,2.0586036365024,1.47860021491885,-1.2932005065568,1.49340283260002,-1.27045118892707,-1.07535635351706,1.54898796027247,1.32018790884794,-1.66792037313409,1.59233907354475
UV_RESPONSE_UP,-1.53724654043742,-2.15831764145323,1.61488098131568,1.09917795083844,-1.65559019368417,-1.44624871335553,1.95637530655724,-1.12046833821121,2.27371934390773,1.96142901100706
