,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
Antigen processing-Cross presentation,-2.11408931680269,-2.21825901841116,1.93411641249338,1.58170717093077,-0.862249015633313,1.59298167121172,-0.954044647632486,-1.02998214326492,1.95164451619645,-1.5932201483428
Cap-dependent Translation Initiation,-3.05968166273241,-3.12711395353181,3.22931378923619,-1.72427228451127,-3.04637568740929,3.153305143426,1.34146477005956,-2.17846449958198,2.62916783645399,-1.12023148571514
Chemokine receptors bind chemokines,-1.76474378733759,-2.25750865718935,0.900446640965656,-1.65709246625813,-2.34195354619892,-1.88836168056439,1.86935443835265,-2.15934255132947,2.28222962140511,2.08504412761063
Downstream TCR signaling,-1.63214420183149,-1.85731656132381,1.56662083058186,-1.21783374488989,-1.13806582919022,-1.39523823200497,-1.06863918151403,-1.27933838801099,2.02280434309651,1.48541787087801
ER-Phagosome pathway,-2.1132005080533,-2.20765416075962,1.89659451957501,1.57929212268052,-0.986414481988389,1.65588759572738,-0.942033465173736,1.08721115912791,1.92945746292997,-1.49274392866248
Eukaryotic Translation Elongation,-3.14928185430438,-3.19598674067483,3.42468257381358,-2.57320506329063,-3.45159802858597,3.45419839669234,2.40290408049346,-2.60412070987493,2.68781564757685,-1.42553899606868
Eukaryotic Translation Termination,-3.10422011570828,-3.16683393352357,3.38099481237655,-2.49974758954021,-3.34048805801729,3.34252733187959,2.11856123406808,-2.46848266396759,2.63955861963257,-1.09642132088185
Formation of a pool of free 40S subunits,-3.10321833462664,-3.16172297856835,3.38111016199095,-2.15238138375309,-3.39610795219913,3.35259216949049,2.07756845845644,-2.45158801502279,2.6739294357461,-1.21377358394006
GTP hydrolysis and joining of the 60S ribosomal subunit,-3.07748023673807,-3.13890971599541,3.30216999332899,-1.77403028929478,-3.23688563954151,3.24077195405589,1.70354132275832,-2.27477373413085,2.66323091441681,-1.14435315238315
Interferon Signaling,1.61656328155964,-1.36330833642064,-1.32032665069133,-1.93675040859832,1.42518780743795,1.44262396245043,-1.09203213074614,-1.15469333919056,1.64311332571172,-0.958232625134972
Interferon alpha/beta signaling,1.60028265804803,-1.82163119482062,-1.36319581150875,-2.14330869675708,1.4444008226597,-1.02943444891928,-1.24712718976528,-1.10308225166268,1.7545811349502,-1.24169201861344
Interferon gamma signaling,1.40728905298223,-1.59150246092613,-1.22344912780124,-2.11499479232947,1.41934657926682,1.74707456202839,-0.951306012731786,-1.85713367514773,1.91949441368539,1.10256902533329
Interleukin-10 signaling,-1.72666985383295,-2.26613428714035,1.71823461439572,-1.75210571719779,-2.77857498146489,-1.68729471844925,2.33186120450831,-2.05774770536037,2.42579610327697,2.46808049602104
Interleukin-4 and Interleukin-13 signaling,1.10522947661172,-1.85571411223967,1.69053121012672,1.53938815280635,-2.24400686654029,-1.19205272840745,2.35781380392685,-1.32143173209633,2.20796680433303,2.19515858131886
L13a-mediated translational silencing of Ceruloplasmin expression,-3.0731973658462,-3.16500570396181,3.3290808986053,-1.76781740895703,-3.31744074028645,3.23755383791347,1.76220626966904,-2.27894143289878,2.66608225299242,-1.0379324655706
Neutrophil degranulation,-1.75680786552978,-1.82857851973672,0.0,2.05639276363493,0.0,-1.07343797172495,1.12609682421217,1.6889539582428,1.91158641030454,-1.37056220006104
"Nonsense Mediated Decay (NMD) independent
 of the Exon Junction Complex (EJC)",-3.04145487496333,-3.11856429355958,3.29094111403512,-2.26573279230545,-3.1861634255286,3.33225161693433,1.95999691438157,-2.38339227663498,2.62437740832102,-0.909435194162968
Peptide chain elongation,-3.13302109683859,-3.17811233079907,3.4185314380321,-2.58925390057279,-3.3975263361961,3.43119198402617,2.37872800263715,-2.58943365128481,2.66931957236542,-1.4287654901555
Peptide ligand-binding receptors,-1.57043485769492,-2.19904882185564,0.984687622869867,-1.15627228068381,-1.98362500600566,-1.78194221817894,1.50054782095318,-2.01248947707267,2.16771161870021,1.755193786881
Regulation of expression of SLITs and ROBOs,-2.99742108740478,-3.00513262693927,3.06007496863695,-1.54603214425345,-2.37940863619234,3.1037125350288,1.08448448054144,-1.79213621197198,2.51237003997291,-1.02348831109643
SRP-dependent cotranslational protein targeting to membrane,-3.12605904189586,-3.13415956075409,3.31028228030683,-2.0217681168487,-3.26369608389789,3.38861942007522,1.68398776322345,-2.21920341741708,2.63794686328502,-1.45504110603824
Selenoamino acid metabolism,-3.02603999808866,-3.04480328449162,3.19476402587239,-2.02214135749642,-2.91568128508104,3.04800358209367,1.5677900167288,-2.36312418121455,2.50730923989527,-0.838977694776856
Selenocysteine synthesis,-3.09882691306595,-3.11299258678362,3.28196738803567,-2.56895329904819,-3.13529476770745,3.36730060066283,2.07924477430906,-2.54713533460592,2.62088855426218,-1.34936965844905
Signaling by Interleukins,1.11812319085065,-1.60175735653684,0.0,1.39196371959937,0.0,-1.13174699655841,2.01480978097716,-1.28008515776445,1.86676787936718,1.95940838051045
Translation,-2.89423263130247,-2.76402900681727,2.58021626966218,1.0171260943185,-1.72422580736854,2.72899382934828,-1.24966999362711,-1.49588779196352,2.24784935419191,-1.62874868261761
Viral mRNA Translation,-3.12638402545832,-3.15367271800102,3.3704631829074,-2.54595761881577,-3.30320455777166,3.40460375192894,2.29105824110836,-2.56590172649335,2.64619601927442,-1.39094963691065
