,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
ALLOGRAFT_REJECTION,0.5137813152121777,3.6863941954288064,0.09763645197841492,2.394537454871853,1.055627633230397,2.8161124704139335,2.296189647126121,6.343586626165612,10.0,3.4105722124267275
ANGIOGENESIS,0.22148227085772165,0.19331413684541202,1.3211797966598982,2.2725585644386266,5.725594363057991,1.1613974895454549,3.5016194208979528,1.361425612983891,1.5074449245023023,2.7623011175423633
APOPTOSIS,0.5396497971853875,8.995626421254755,3.356451748573646,0.42310757795303133,6.70183184044732,2.9826308076714625,5.613759511877355,2.1195665385108815,10.0,8.001850437698977
COMPLEMENT,0.8616796949437683,2.376021537784015,0.10349809110144725,1.4787072375482153,2.1322669432540344,0.1957954580933003,4.698350856365752,0.45307446422695696,7.3331084439971095,3.16660295766396
DNA_REPAIR,5.707711680278402,2.8220314550374495,1.7342688325109246,0.8778979454683309,0.04939539432137199,0.05039297550178964,0.3914003855953202,0.4236321943410274,3.4615552380291432,0.17791224074515727
EPITHELIAL_MESENCHYMAL_TRANSITION,0.39076422593575955,5.918704834525573,1.9121505338343356,1.3102045888980058,10.0,1.0564591925165514,4.862064610712247,0.7242145617661484,7.3331084439971095,7.19886676192601
HYPOXIA,0.4237901066938326,7.970087893094577,2.4717740542446016,4.496892810374276,7.262145887162897,1.5855017471211024,9.021480588495606,2.153401041577247,7.560153290598123,7.830381043014758
IL6_JAK_STAT3_SIGNALING,0.8616796949437683,1.0559367205675498,0.1779467217179281,0.34284852036349683,3.3589006250690527,0.3226532580694134,4.936709012106191,2.127345491921361,5.264944436411028,4.133763181719771
INFLAMMATORY_RESPONSE,1.4488552274541984,8.794950474498048,2.3430126910370803,0.7047213530522924,10.0,1.498510183525087,10.0,7.100942596936492,10.0,10.0
INTERFERON_ALPHA_RESPONSE,3.874968297876133,2.3148058081752185,4.257978463986847,10.0,6.859445219945014,2.561114930246006,0.8886578945843081,2.153401041577247,1.2772394131220883,1.6989700043360187
INTERFERON_GAMMA_RESPONSE,4.780960014489732,5.918704834525573,3.09024447527102,10.0,2.96558177163402,5.063402969495075,5.104306451630216,7.3174531952856245,7.667083542461149,3.669077459377206
MTORC1_SIGNALING,0.5137813152121777,1.8202489123037335,1.4799216781666187,9.966751021674266,3.5723498800987894,0.1452295306045374,3.887145073027726,6.102098462311876,8.288981527688817,4.8771263746916
MYC_TARGETS_V1,8.741316479778982,8.945833611516331,5.42491916857213,10.0,0.08977431954504886,4.770639037038931,0.3352334655505134,0.9712577414403916,10.0,0.9614593334219127
OXIDATIVE_PHOSPHORYLATION,10.0,10.0,10.0,4.225860488845671,0.039900073223094114,10.0,0.7545617349334292,3.9643376737023326,8.216077852402925,2.0254612453806224
TGF_BETA_SIGNALING,0.6256607807398455,0.9127240104158673,3.09024447527102,2.0553659988940804,2.987633440779734,3.232420495893448,10.0,5.15928739231466,0.9380343204272173,2.287643937995227
TNFA_SIGNALING_VIA_NFKB,0.48985802730639927,10.0,8.463585072492624,2.715136738919905,10.0,4.724736043633744,10.0,10.0,10.0,10.0
UV_RESPONSE_DN,9.627724991166046,2.1099283134911335,1.158401197543509,2.0553659988940804,1.2977513967763479,0.2569431994320199,2.499258325223169,1.2340522779008387,3.5291190669432577,2.443397621936698
UV_RESPONSE_UP,2.9995799343317926,8.794950474498048,3.2961663644292076,0.5163649727879719,4.321594955189102,1.5946509486623495,5.662339067650662,0.569008427595566,10.0,5.3463712106680035
