,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
Antigen processing-Cross presentation,6.426349987816425,7.486261083442165,4.1610088809787635,1.6883922076191376,0.031128101079730547,2.087221018160644,0.11208849235909309,0.26368067264604034,4.723247365204042,1.0856704809502218
Cap-dependent Translation Initiation,10.0,10.0,10.0,2.287855680009829,10.0,10.0,0.8325196374832295,7.300691327714267,10.0,0.18264940074084202
Chemokine receptors bind chemokines,2.254174845195725,4.848893562144194,0.09473546846969971,1.324880794329728,4.630655020261672,3.541226726002937,1.843959848854451,5.024132488588572,6.936989007038314,2.1623062742735497
Downstream TCR signaling,2.572708360984707,3.8366693888676666,2.097558725992574,0.5958284175241355,0.38127659914451756,0.9061349818036512,0.2181077221163799,0.731679478475708,6.0155370235853445,0.7100329094739715
ER-Phagosome pathway,5.651468988702493,6.445120739008663,3.629079254864373,1.4456689754476313,0.1272195788689191,2.107138737844781,0.1050569786780165,0.362594157060065,4.085487119154554,0.742137249980825
Eukaryotic Translation Elongation,10.0,10.0,10.0,10.0,10.0,10.0,7.222461969944997,10.0,10.0,0.6607838513741957
Eukaryotic Translation Termination,10.0,10.0,10.0,9.527171449060562,10.0,10.0,4.320461685591647,10.0,10.0,0.15042073597421046
Formation of a pool of free 40S subunits,10.0,10.0,10.0,5.2291370569435776,10.0,10.0,4.283087873906075,10.0,10.0,0.28273653101104745
GTP hydrolysis and joining of the 60S ribosomal subunit,10.0,10.0,10.0,2.849984104853687,10.0,10.0,2.228614320725542,8.51366346184248,10.0,0.20299760535470898
Interferon Signaling,2.972613392807941,1.6593838754336794,1.0887715284327593,5.261532839034688,1.3960116912955123,2.107138737844781,0.2621565255517683,0.5172109853629973,2.825134651450504,0.08304723725694427
Interferon alpha/beta signaling,1.7054063694066908,2.43970680751675,0.7492136279169536,4.162214829042329,0.9035858649877054,0.1815368568825495,0.4356128456931362,0.335635423094362,2.214449902728249,0.28009083348610286
Interferon gamma signaling,1.1522660273351852,1.8313825420733916,0.47644350203406993,4.670032646670722,0.9211864191161139,2.807715246389295,0.11213309556926968,3.0602268276298847,3.807680925779012,0.15311607103921174
Interleukin-10 signaling,1.9796451883532766,5.306133890788922,1.6699497628009883,1.4806547755004191,8.961525558117435,1.6668330630695216,4.253495856236622,3.6905272790526027,9.748986343431548,5.5348218378523155
Interleukin-4 and Interleukin-13 signaling,0.37997861958262175,3.5022552196405514,2.763236451553108,1.3631535452662007,6.44723389518843,0.41094915508636026,7.222461969944997,0.8105363919362621,8.069267112156393,3.5632336503563673
L13a-mediated translational silencing of Ceruloplasmin expression,10.0,10.0,10.0,2.14890906179104,10.0,10.0,2.5128451449803477,8.640682729002368,10.0,0.12259588625317475
Neutrophil degranulation,9.911851147835852,10.0,0.0,10.0,0.0,0.302328504141821,0.8974609353929257,6.151354833093892,10.0,1.0856704809502218
"Nonsense Mediated Decay (NMD) independent
 of the Exon Junction Complex (EJC)",10.0,10.0,10.0,6.294925641508076,10.0,10.0,3.519567567766013,10.0,10.0,0.07179750157507675
Peptide chain elongation,10.0,10.0,10.0,10.0,10.0,10.0,7.03523150930166,10.0,10.0,0.6607838513741957
Peptide ligand-binding receptors,2.183542507102025,8.361065626440716,0.15818311915065045,0.49236751617478347,5.01428963600023,4.192998967902802,1.518815852272446,4.668870595231123,7.959632481268789,1.7256749754112346
Regulation of expression of SLITs and ROBOs,10.0,10.0,10.0,1.815903366271161,10.0,10.0,0.3195176228813228,3.6648979230437084,10.0,0.11862408494370574
SRP-dependent cotranslational protein targeting to membrane,10.0,10.0,10.0,4.6649507974477995,10.0,10.0,2.130114282807147,7.558977268457817,10.0,0.742137249980825
Selenoamino acid metabolism,10.0,10.0,10.0,4.350545005957548,10.0,10.0,1.6126803275086832,9.964788983952081,10.0,0.04491354013495848
Selenocysteine synthesis,10.0,10.0,10.0,10.0,10.0,10.0,4.253495856236622,10.0,10.0,0.49502354986866065
Signaling by Interleukins,0.5371458255242594,5.9460167424976165,0.0,1.9466542465182994,0.0,0.4628833529922439,10.0,1.1975284158471262,10.0,7.082299775910908
Translation,10.0,10.0,10.0,0.21133223423992825,5.8341892355964085,10.0,0.7484507256868952,2.162757466249557,10.0,2.4042875030304174
Viral mRNA Translation,10.0,10.0,10.0,10.0,10.0,10.0,6.094725115976666,10.0,10.0,0.5580246564842152
